"id","name","code","prefix","padding"
"ir_sequence_req_code_kidapawan-m-25","req_code_kidapawan-m-25","req_code_kidapawan-m-25","16-25-2-1",5
"ir_sequence_req_code_lapasan – m-25","req_code_lapasan – m-25","req_code_lapasan – m-25","16-25-2-2",5
"ir_sequence_req_code_maramag-h-25","req_code_maramag-h-25","req_code_maramag-h-25","16-25-2-3",5
"ir_sequence_req_code_valencia-m-25","req_code_valencia-m-25","req_code_valencia-m-25","16-25-2-4",5
"ir_sequence_req_code_kidapawan-15","req_code_kidapawan-15","req_code_kidapawan-15","16-15-2-5",5
"ir_sequence_req_code_lapasan-15","req_code_lapasan-15","req_code_lapasan-15","16-15-2-6",5
"ir_sequence_req_code_valencia-15","req_code_valencia-15","req_code_valencia-15","16-15-2-7",5
"ir_sequence_req_code_buhangin - m-25","req_code_buhangin - m-25","req_code_buhangin - m-25","16-25-3-1",5
"ir_sequence_req_code_calinan-m-25","req_code_calinan-m-25","req_code_calinan-m-25","16-25-3-2",5
"ir_sequence_req_code_panabo-m-25","req_code_panabo-m-25","req_code_panabo-m-25","16-25-3-3",5
"ir_sequence_req_code_tagum-m-25","req_code_tagum-m-25","req_code_tagum-m-25","16-25-3-4",5
"ir_sequence_req_code_buhangin-15","req_code_buhangin-15","req_code_buhangin-15","16-15-3-5",5
"ir_sequence_req_code_calinan-15","req_code_calinan-15","req_code_calinan-15","16-15-3-6",5
"ir_sequence_req_code_digos-15","req_code_digos-15","req_code_digos-15","16-15-3-7",5
"ir_sequence_req_code_panabo-15","req_code_panabo-15","req_code_panabo-15","16-15-3-8",5
"ir_sequence_req_code_tagum-15","req_code_tagum-15","req_code_tagum-15","16-15-3-9",5
"ir_sequence_req_code_insurance-25","req_code_insurance-25","req_code_insurance-25","16-25-1-1",5
"ir_sequence_req_code_treasury-25","req_code_treasury-25","req_code_treasury-25","16-25-2-2",5
"ir_sequence_req_code_human capital development-25","req_code_human capital development-25","req_code_human capital development-25","16-25-3-3",5
"ir_sequence_req_code_operations group-25","req_code_operations group-25","req_code_operations group-25","16-25-4-4",5
"ir_sequence_req_code_mis-25","req_code_mis-25","req_code_mis-25","16-25-5-5",5
"ir_sequence_req_code_audit-25","req_code_audit-25","req_code_audit-25","16-25-6-6",5
"ir_sequence_req_code_comptrollership-25","req_code_comptrollership-25","req_code_comptrollership-25","16-25-7-7",5
"ir_sequence_req_code_corporate planning & market research development-25","req_code_corporate planning & market research development-25","req_code_corporate planning & market research development-25","16-25-8-8",5
"ir_sequence_req_code_execom-25","req_code_execom-25","req_code_execom-25","16-25-9-9",5
"ir_sequence_req_code_human capital management-25","req_code_human capital management-25","req_code_human capital management-25","16-25-10-10",5
"ir_sequence_req_code_repair & maintenance-25","req_code_repair & maintenance-25","req_code_repair & maintenance-25","16-25-11-11",5
"ir_sequence_req_code_credit and collection-25","req_code_credit and collection-25","req_code_credit and collection-25","16-25-12-12",5
"ir_sequence_req_code_internal control-25","req_code_internal control-25","req_code_internal control-25","16-25-13-13",5
"ir_sequence_req_code_legal-25","req_code_legal-25","req_code_legal-25","16-25-14-14",5
"ir_sequence_req_code_mati-m-25","req_code_mati-m-25","req_code_mati-m-25","16-25-15-15",5
"ir_sequence_req_code_marketing-25","req_code_marketing-25","req_code_marketing-25","16-25-16-16",5
"ir_sequence_req_code_materials management-25","req_code_materials management-25","req_code_materials management-25","16-25-17-17",5
"ir_sequence_req_code_finance-25","req_code_finance-25","req_code_finance-25","16-25-18-18",5
"ir_sequence_req_code_office of the president-25","req_code_office of the president-25","req_code_office of the president-25","16-25-19-19",5

