id,department_id:id,company_id:id,sequence_id:id
panabo-m_epfcpanabo,muti_hrms.6000064,muti_base.res_company_epfcpanaboid,ir.sequence_MUTI PANABO
polomolok_epfcpolomolok,muti_hrms.6000053,muti_base.res_company_epfcpolomolokid,ir.sequence_EPFC POLOMOLOK
surallah_epfcsurallah1,muti_hrms.6000056,muti_base.res_company_epfcsurallah1id,ir.sequence_EPFC SURALLAH 1
surallah_epfcsurallah2,muti_hrms.6000092,muti_base.res_company_epfcsurallah2id,ir.sequence_EPFC SURALLAH 2
tacurong_epfctacurong,muti_hrms.6000051,muti_base.res_company_epfctacurongid,ir.sequence_EPFC TACURONG
valencia_epfcvalencia,muti_hrms.6000071,muti_base.res_company_epfcvalenciaid,ir.sequence_EPFC VALENCIA
kitchen_kitchen,muti_hrms.9000001,muti_base.res_company_kitchenid,ir.sequence_BOD/KITCHEN
audit_epfchomeoffice,muti_hrms.6000013,muti_base.res_company_epfchomeofficeid,ir.sequence_AUDIT
hcd_epfchomeoffice,muti_hrms.6000099,muti_base.res_company_epfchomeofficeid,ir.sequence_HCM
hcm_epfchomeoffice,muti_hrms.6000097,muti_base.res_company_epfchomeofficeid,ir.sequence_HCM
insurance_epfchomeoffice,muti_hrms.6000045,muti_base.res_company_epfchomeofficeid,
icd_epfchomeoffice,muti_hrms.6000090,muti_base.res_company_epfchomeofficeid,ir.sequence_ICD
marketing_epfchomeoffice,muti_hrms.6000035,muti_base.res_company_epfchomeofficeid,ir.sequence_MARKETING
materialsmanagement_epfchomeoffice,muti_hrms.6000078,muti_base.res_company_epfchomeofficeid,ir.sequence_IMG
mis_epfchomeoffice,muti_hrms.6000030,muti_base.res_company_epfchomeofficeid,ir.sequence_MIS
officeofthepresident_epfchomeoffice,muti_hrms.6000044,muti_base.res_company_epfchomeofficeid,
repair&maintenance_epfchomeoffice,muti_hrms.6000036,muti_base.res_company_epfchomeofficeid,ir.sequence_R&M
treasury_epfchomeoffice,muti_hrms.6000061,muti_base.res_company_epfchomeofficeid,ir.sequence_TIG
phoenix_pumgassinawal,muti_hrms.17000001,muti_base.res_company_pumgassinawalid,ir.sequence_PUMGAS SINAWAL
operations_pumgassinawal,muti_hrms.17000002,muti_base.res_company_pumgassinawalid,ir.sequence_PUMGAS SINAWAL
lagao_pumgas_lagao,muti_hrms.17000004,muti_base.res_company_pumgaslagaoid,ir.sequence_PUMGAS LAGAO
Hlrdc-quarry_hlrdcquarry,muti_hrms.7000004,muti_base.res_company_hlrdc-quarryid,ir.sequence_HLRDC HEAD OFFICE
operations_hlrdcheadoffice,muti_hrms.7000005,muti_base.res_company_hlrdcheadofficeid,ir.sequence_HLRDC HEAD OFFICE
operationsoftheoffice_hlrdcheadoffice,muti_hrms.7000006,muti_base.res_company_hlrdcheadofficeid,ir.sequence_HLRDC HEAD OFFICE
admin&finance_hlrdcheadoffice,muti_hrms.7000007,muti_base.res_company_hlrdcheadofficeid,ir.sequence_HLRDC HEAD OFFICE
planning&design_hlrdcheadoffice,muti_hrms.7000008,muti_base.res_company_hlrdcheadofficeid,ir.sequence_HLRDC HEAD OFFICE
finance_epfchomeoffice,muti_hrms.6000019,muti_base.res_company_epfchomeofficeid,ir.sequence_EPFC FINANCE
