id,department_id:id,company_id:id,sequence_id:id
digos_epfcdigos,muti_hrms_data.6000055,muti_base.res_company_epfcdigosid,ir.sequence_EPFC DIGOS
isualan_epfcisulan1,muti_hrms_data.6000057,muti_base.res_company_epfcisulan1id,ir.sequence_EPFC ISULAN 1
isualan_epfcisulan2,muti_hrms_data.6000052,muti_base.res_company_epfcisulan2id,ir.sequence_EPFC ISULAN 2
kidapawan_epfckidapawan,muti_hrms_data.6000058,muti_base.res_company_epfckidapawanid,ir.sequence_EPFC KIDAPAWAN
koronadal_epfckoronadal1,muti_hrms_data.6000050,muti_base.res_company_epfckoronadal1id,ir.sequence_EPFC KORONADAL 1
koronadal_epfckoronadal2,muti_hrms_data.6000054,muti_base.res_company_epfckoronadal2id,ir.sequence_EPFC KORONADAL 2
Maramag-h_hondamaramag,muti_hrms_data.6000079,muti_base.res_company_hondamaramagid,ir.sequence_HONDA MARAMAG
marbel-m_epfcmarbel,muti_hrms_data.6000049,muti_base.res_company_epfcmarbelid,
mati-m_epfchomeoffice,muti_hrms_data.6000063,muti_base.res_company_epfchomeofficeid,
panabo-m_epfcpanabo,muti_hrms_data.6000064,muti_base.res_company_epfcpanaboid,ir.sequence_MUTI PANABO
polomolok_epfcpolomolok,muti_hrms_data.6000053,muti_base.res_company_epfcpolomolokid,ir.sequence_EPFC POLOMOLOK
surallah_epfcsurallah1,muti_hrms_data.6000056,muti_base.res_company_epfcsurallah1id,ir.sequence_EPFC SURALLAH 1
surallah_epfcsurallah2,muti_hrms_data.6000092,muti_base.res_company_epfcsurallah2id,ir.sequence_EPFC SURALLAH 2
tacurong_epfctacurong,muti_hrms_data.6000051,muti_base.res_company_epfctacurongid,ir.sequence_EPFC TACURONG
valencia_epfcvalencia,muti_hrms_data.6000071,muti_base.res_company_epfcvalenciaid,ir.sequence_EPFC VALENCIA
kitchen_kitchen,muti_hrms_data.9000001,muti_base.res_company_kitchenid,ir.sequence_BOD/KITCHEN
audit_epfchomeoffice,muti_hrms_data.6000013,muti_base.res_company_epfchomeofficeid,ir.sequence_AUDIT
hcd_epfchomeoffice,muti_hrms_data.6000099,muti_base.res_company_epfchomeofficeid,ir.sequence_HCM
hcm_epfchomeoffice,muti_hrms_data.6000097,muti_base.res_company_epfchomeofficeid,ir.sequence_HCM
insurance_epfchomeoffice,muti_hrms_data.6000045,muti_base.res_company_epfchomeofficeid,
icd_epfchomeoffice,muti_hrms_data.6000090,muti_base.res_company_epfchomeofficeid,ir.sequence_ICD
marketing_epfchomeoffice,muti_hrms_data.6000035,muti_base.res_company_epfchomeofficeid,ir.sequence_MARKETING
materialsmanagement_epfchomeoffice,muti_hrms_data.6000078,muti_base.res_company_epfchomeofficeid,ir.sequence_IMG
mis_epfchomeoffice,muti_hrms_data.6000030,muti_base.res_company_epfchomeofficeid,ir.sequence_MIS
officeofthepresident_epfchomeoffice,muti_hrms_data.6000044,muti_base.res_company_epfchomeofficeid,
repair&maintenance_epfchomeoffice,muti_hrms_data.6000036,muti_base.res_company_epfchomeofficeid,ir.sequence_R&M
treasury_epfchomeoffice,muti_hrms_data.6000061,muti_base.res_company_epfchomeofficeid,ir.sequence_TIG
phoenix_pumgassinawal,muti_hrms_data.17000001,muti_base.res_company_pumgassinawalid,ir.sequence_PUMGAS SINAWAL
operations_pumgassinawal,muti_hrms_data.17000002,muti_base.res_company_pumgassinawalid,ir.sequence_PUMGAS SINAWAL
lagao_pumgas_lagao,muti_hrms_data.17000004,muti_base.res_company_pumgaslagaoid,ir.sequence_PUMGAS LAGAO
Hlrdc-quarry_hlrdcquarry,muti_hrms_data.7000004,muti_base.res_company_hlrdc-quarryid,ir.sequence_HLRDC HEAD OFFICE
operations_hlrdcheadoffice,muti_hrms_data.7000005,muti_base.res_company_hlrdcheadofficeid,ir.sequence_HLRDC HEAD OFFICE
operationsoftheoffice_hlrdcheadoffice,muti_hrms_data.7000006,muti_base.res_company_hlrdcheadofficeid,ir.sequence_HLRDC HEAD OFFICE
admin&finance_hlrdcheadoffice,muti_hrms_data.7000007,muti_base.res_company_hlrdcheadofficeid,ir.sequence_HLRDC HEAD OFFICE
planning&design_hlrdcheadoffice,muti_hrms_data.7000008,muti_base.res_company_hlrdcheadofficeid,ir.sequence_HLRDC HEAD OFFICE
finance_epfchomeoffice,muti_hrms_data.6000019,muti_base.res_company_epfchomeofficeid,ir.sequence_EPFC FINANCE
