id,name
employee_conf_seminar_basic0ncredit&collectionid,BASIC 0N CREDIT & COLLECTION
employee_conf_seminar_basicaccountingfornon-accountantsid,BASIC ACCOUNTING FOR NON-ACCOUNTANTS
employee_conf_seminar_basicauditingseminarid,BASIC AUDITING SEMINAR
employee_conf_seminar_basicbookeepping&entrepreneurshipid,BASIC BOOKEEPPING & ENTREPRENEURSHIP
employee_conf_seminar_basicbookkeepingandentrepreneurshipid,BASIC BOOKKEEPING AND ENTREPRENEURSHIP
employee_conf_seminar_basicelectricarcweldingid,BASIC ELECTRIC ARC WELDING
employee_conf_seminar_basicelectronicid,BASIC ELECTRONIC
employee_conf_seminar_basicemployee'srightid,BASIC EMPLOYEE'S RIGHT
employee_conf_seminar_basicemployeesrightid,BASIC EMPLOYEES RIGHT
employee_conf_seminar_basicfoodhygieneid,BASIC FOOD HYGIENE
employee_conf_seminar_basichumanresourcesmanagementid,BASIC HUMAN RESOURCES MANAGEMENT
employee_conf_seminar_basicjournalismseminarworkshopid,BASIC JOURNALISM SEMINAR WORKSHOP
employee_conf_seminar_basiclifesupportid,BASIC LIFE SUPPORT
employee_conf_seminar_basiclifesupportid,BASIC LIFE SUPPORT
employee_conf_seminar_basiclifesupportid,BASIC LIFE SUPPORT
employee_conf_seminar_basicmanagementprogramid,BASIC MANAGEMENT PROGRAM
employee_conf_seminar_basicoccupationalsafety&healthtrainingcourseid,BASIC OCCUPATIONAL SAFETY & HEALTH TRAINING COURSE
employee_conf_seminar_basicoccupationalsafetyandhealthid,BASIC OCCUPATIONAL SAFETY AND HEALTH
employee_conf_seminar_basicrestaurant&coffeehousetrainingid,BASIC RESTAURANT & COFFEE HOUSE TRAINING
employee_conf_seminar_basicruralbankingcourseid,BASIC RURAL BANKING COURSE
employee_conf_seminar_basicsafetyparctices&emergencypreparednessid,BASIC SAFETY PARCTICES & EMERGENCY PREPAREDNESS
employee_conf_seminar_basicsafetytrainingsid,BASIC SAFETY TRAININGS
employee_conf_seminar_basicsalesmanshipcourseid,BASIC SALESMANSHIP COURSE
employee_conf_seminar_basicsecuritymanagementtrainingid,BASIC SECURITY MANAGEMENT TRAINING
employee_conf_seminar_basicseminarworkshopid,BASIC SEMINAR WORKSHOP
employee_conf_seminar_basicsupervisorycourseid,BASIC SUPERVISORY COURSE
employee_conf_seminar_basicsupervisorycourseid,BASIC SUPERVISORY COURSE
employee_conf_seminar_basicsupervisorycourseid,BASIC SUPERVISORY COURSE
employee_conf_seminar_basicsupervisorycourseid,BASIC SUPERVISORY COURSE
employee_conf_seminar_basicsupervisorycourseid,BASIC SUPERVISORY COURSE
employee_conf_seminar_basicsupervisorydevelopmentprogramid,BASIC SUPERVISORY DEVELOPMENT PROGRAM
employee_conf_seminar_basicteambuildinglabid,BASIC TEAMBUILDING LAB
