"id","salary_from","salary_to","er","ee","ec","cont_id:id","er_type","ee_type"
"contribution_payroll_line48",	24000	,	24999.99	,	300	,	300	,	0	,"contribution_payroll_ph","fix","fix"
"contribution_payroll_line49",	25000	,	25999.99	,	312.5	,	312.5	,	0	,"contribution_payroll_ph","fix","fix"
"contribution_payroll_line50",	26000	,	26999.99	,	325	,	325	,	0	,"contribution_payroll_ph","fix","fix"
"contribution_payroll_line51",	27000	,	27999.99	,	337.5	,	337.5	,	0	,"contribution_payroll_ph","fix","fix"
"contribution_payroll_line52",	28000	,	28999.99	,	350	,	350	,	0	,"contribution_payroll_ph","fix","fix"
"contribution_payroll_line53",	29000	,	29999.99	,	362.5	,	362.5	,	0	,"contribution_payroll_ph","fix","fix"
"contribution_payroll_line54",	30000	,	30999.99	,	375	,	375	,	0	,"contribution_payroll_ph","fix","fix"
"contribution_payroll_line55",	31000	,	31999.99	,	387.5	,	387.5	,	0	,"contribution_payroll_ph","fix","fix"
"contribution_payroll_line56",	32000	,	32999.99	,	400	,	400	,	0	,"contribution_payroll_ph","fix","fix"
"contribution_payroll_line57",	33000	,	33999.99	,	412.5	,	412.5	,	0	,"contribution_payroll_ph","fix","fix"
"contribution_payroll_line58",	34000	,	34999.99	,	425	,	425	,	0	,"contribution_payroll_ph","fix","fix"
"contribution_payroll_line59",	35000	,	100000	,	437.5	,	437.5	,	0	,"contribution_payroll_ph","fix","fix"

"contribution_payroll_line60",	1500	,	100000	,	100.0	,	2.0	,	0	,"contribution_payroll_hdmf","fix","percentage"


