"id","request_type_id:id","request_source_id:id"
"approval_rule_v6_cash_tig__travel expenses_bu main","request_type_v6_travel expenses","request_source_v6_bu main"
"approval_rule_v6_cash_tig__freight and handling_petty cash fund","request_type_v6_freight and handling","request_source_v6_petty cash fund"
"approval_rule_v6_cash_tig__supplies_petty cash fund","request_type_v6_supplies","request_source_v6_petty cash fund"
"approval_rule_v6_cash_tig__mortuary_bu main","request_type_v6_mortuary","request_source_v6_bu main"
"approval_rule_v6_cash_tig__advances to sister company_tig","request_type_v6_advances to sister company","request_source_v6_tig"
"approval_rule_v6_cash_tig__advances for operations_bu main","request_type_v6_advances for operations","request_source_v6_bu main"
"approval_rule_v6_others_branch__repairs (capex)_revolving fund","request_type_v6_repairs (capex)","request_source_v6_revolving fund"
"approval_rule_v6_others_branch__accountable forms_bu main","request_type_v6_accountable forms","request_source_v6_bu main"
"approval_rule_v6_others_branch__trade inventory_bu main","request_type_v6_trade inventory","request_source_v6_bu main"
"approval_rule_v6_others_branch__item  request_branch","request_type_v6_item  request","request_source_v6_branch"
"approval_rule_v6_others_branch__borrowing of equipment_bu main","request_type_v6_borrowing of equipment","request_source_v6_bu main"
"approval_rule_v6_others_branch__repairs & maintenance_revolving fund","request_type_v6_repairs & maintenance","request_source_v6_revolving fund"
"approval_rule_v6_others_brdc head office __repairs (capex)_revolving fund","request_type_v6_repairs (capex)","request_source_v6_revolving fund"
"approval_rule_v6_others_brdc head office __business travel authority (bta)_revolving fund","request_type_v6_business travel authority (bta)","request_source_v6_revolving fund"
"approval_rule_v6_others_brdc head office __repairs & maintenance_revolving fund","request_type_v6_repairs & maintenance","request_source_v6_revolving fund"
"approval_rule_v6_others_brdc head office __borrowing of equipment_bu main","request_type_v6_borrowing of equipment","request_source_v6_bu main"
"approval_rule_v6_others_head office__borrowing company property_bu main","request_type_v6_borrowing company property","request_source_v6_bu main"
"approval_rule_v6_others_head office__repairs (capex)_bu main","request_type_v6_repairs (capex)","request_source_v6_bu main"
"approval_rule_v6_others_head office__repairs & maintenance_bu main","request_type_v6_repairs & maintenance","request_source_v6_bu main"
