"id","name","request_categ_id:id","department_id:id","department_level_id:id","approval_rule_ids:id"
"config_approval_v6_OTHERSTIGMIS","OTHERSTIGMIS","request_categ_others","muti_hrms_data.6000030","request_level_v6_tig","approval_rule_v6_others_tig_mis_travel and transportation_tig,approval_rule_v6_others_tig_mis_inventory_bu main"
"config_approval_v6_OTHERSTIG","OTHERSTIG","request_categ_others",,"request_level_v6_tig","approval_rule_v6_others_tig__travel and transportation_tig,approval_rule_v6_others_tig__marketing activity_bu main"
"config_approval_v6_PAYMENTASI","PAYMENTASI","request_categ_payment",,"request_level_v6_asi","approval_rule_v6_payment_asi__payables_mother account"
"config_approval_v6_PAYMENTBranch","PAYMENTBranch","request_categ_payment",,"request_level_v6_branch","approval_rule_v6_payment_branch__retainer's fee_revolving fund,approval_rule_v6_payment_branch__special fund for unit registration_bu main,approval_rule_v6_payment_branch__unit registration_revolving fund,approval_rule_v6_payment_branch__marketing expenses_revolving fund,approval_rule_v6_payment_branch__penalty fees to goverment agencies_revolving fund,approval_rule_v6_payment_branch__travel expenses_revolving fund,approval_rule_v6_payment_branch__payables_revolving fund,approval_rule_v6_payment_branch__utility bills/rentals_revolving fund,approval_rule_v6_payment_branch__agent's commissions_revolving fund,approval_rule_v6_payment_branch__payables_bu main,approval_rule_v6_payment_branch__marketing expenses_bu main,approval_rule_v6_payment_branch__utility bills/rentals_bu main,approval_rule_v6_payment_branch__agent's commissions_bu main"
"config_approval_v6_PAYMENTBRDC Head Office ","PAYMENTBRDC Head Office ","request_categ_payment",,"request_level_v6_brdc head office ","approval_rule_v6_payment_brdc head office __retainer's fee_mother account,approval_rule_v6_payment_brdc head office __agent's commissions_revolving fund,approval_rule_v6_payment_brdc head office __perpetual care fund_mother account,approval_rule_v6_payment_brdc head office __salaries and wages_mother account,approval_rule_v6_payment_brdc head office __payables_mother account,approval_rule_v6_payment_brdc head office __revolving fund replenishment_mother account,approval_rule_v6_payment_brdc head office __utility bills_mother account,approval_rule_v6_payment_brdc head office __managerial fee_mother account,approval_rule_v6_payment_brdc head office __separation pay_mother account,approval_rule_v6_payment_brdc head office __statutory expenses_mother account,approval_rule_v6_payment_brdc head office __fund transfer_mother account,approval_rule_v6_payment_brdc head office __rentals_mother account"
"config_approval_v6_PAYMENTHead Office","PAYMENTHead Office","request_categ_payment",,"request_level_v6_head office","approval_rule_v6_payment_head office__separation pay_bu main,approval_rule_v6_payment_head office__managerial fee_bu main,approval_rule_v6_payment_head office__payables_bu main,approval_rule_v6_payment_head office__employee's incentives_bu main,approval_rule_v6_payment_head office__salaries and wages_bu main,approval_rule_v6_payment_head office__statutory expenses_bu main,approval_rule_v6_payment_head office__rentals_bu main,approval_rule_v6_payment_head office__retainer's fee_bu main,approval_rule_v6_payment_head office__utility bills_bu main,approval_rule_v6_payment_head office__fund transfer_bu main"
"config_approval_v6_PAYMENTHLRDC Head Office","PAYMENTHLRDC Head Office","request_categ_payment",,"request_level_v6_hlrdc head office","approval_rule_v6_payment_hlrdc head office__separation pay_bu main,approval_rule_v6_payment_hlrdc head office__utility bills_bu main,approval_rule_v6_payment_hlrdc head office__retainer's fee_bu main,approval_rule_v6_payment_hlrdc head office__managerial fee_bu main,approval_rule_v6_payment_hlrdc head office__rentals ( building )_bu main,approval_rule_v6_payment_hlrdc head office__rentals ( equipment )_bu main,approval_rule_v6_payment_hlrdc head office__permit and licenses/processing fee_bu main,approval_rule_v6_payment_hlrdc head office__gratuity expenses_bu main,approval_rule_v6_payment_hlrdc head office__fund transfer_bu main,approval_rule_v6_payment_hlrdc head office__agent's commissions_bu main,approval_rule_v6_payment_hlrdc head office__salaries and wages_bu main,approval_rule_v6_payment_hlrdc head office__payables_bu main,approval_rule_v6_payment_hlrdc head office__statutory expenses_bu main"
"config_approval_v6_PAYMENTINSURANCE SERVICES","PAYMENTINSURANCE SERVICES","request_categ_payment",,"request_level_v6_insurance services","approval_rule_v6_payment_insurance services__salaries and wages_insurance services,approval_rule_v6_payment_insurance services__management fee_insurance services,approval_rule_v6_payment_insurance services__opex_insurance services,approval_rule_v6_payment_insurance services__refund_insurance services,approval_rule_v6_payment_insurance services__fund transfer_insurance services,approval_rule_v6_payment_insurance services__insurance claim_insurance services"
"config_approval_v6_PAYMENTPUMGAS Head Office","PAYMENTPUMGAS Head Office","request_categ_payment",,"request_level_v6_pumgas head office","approval_rule_v6_payment_pumgas head office__payables_mother account,approval_rule_v6_payment_pumgas head office__retainer's fee_revolving fund,approval_rule_v6_payment_pumgas head office__utility bills_revolving fund,approval_rule_v6_payment_pumgas head office__revolving fund replenishment_mother account"
"config_approval_v6_PAYMENTTIGMIS","PAYMENTTIGMIS","request_categ_payment","muti_hrms_data.6000030","request_level_v6_tig","approval_rule_v6_payment_tig_mis_payables_bu main,approval_rule_v6_payment_tig_mis_payables_tig,approval_rule_v6_payment_tig_mis_salaries and wages_bu main,approval_rule_v6_payment_tig_mis_rentals_tig,approval_rule_v6_payment_tig_mis_dividend_tig,approval_rule_v6_payment_tig_mis_salaries and wages_tig"
