"id","hr_job_id:id","priority","amount","approval_rule_id:id"
"approval_chain_349","muti_hrms_data.1043",5,0,"approval_rule_v6_purchase_pumgas head office__purchases(capex it equipment)_mother account"
"approval_chain_351","hr_job_immediate superior",2,0,"approval_rule_v6_others_pumgas head office__item request_bu main"
"approval_chain_352","muti_hrms_data.6208",4,0,"approval_rule_v6_purchase_branch__purchases(capex it equipment)_bu main"
"approval_chain_354","muti_hrms_data.6208",2,0,"approval_rule_v6_cash_pumgas head office__advances for operation_mother account"
"approval_chain_355","muti_hrms_data.1136",3,0,"approval_rule_v6_cash_pumgas head office__advances for operation_mother account"
"approval_chain_356","muti_hrms_data.1135",2,0,"approval_rule_v6_payment_branch__agent's commissions_revolving fund"
"approval_chain_357","muti_hrms_data.1136",4,0,"approval_rule_v6_payment_branch__agent's commissions_revolving fund"
"approval_chain_359","muti_hrms_data.11033",2,0,"approval_rule_v6_payment_tig__payables_bu main"
"approval_chain_360","muti_hrms_data.6208",3,0,"approval_rule_v6_payment_tig__payables_bu main"
"approval_chain_361","hr_job_immediate superior",2,0,"approval_rule_v6_purchase_tig__purchases(office supplies)_bu main"
"approval_chain_363","muti_hrms_data.6208",2,0,"approval_rule_v6_cash_pumgas head office__investment fund_mother account"
"approval_chain_364","muti_hrms_data.1136",3,0,"approval_rule_v6_cash_pumgas head office__investment fund_mother account"
"approval_chain_366","muti_hrms_data.1135",2,0,"approval_rule_v6_payment_branch__marketing expenses_bu main"
"approval_chain_367","hr_job_area manager",3,0,"approval_rule_v6_payment_branch__marketing expenses_bu main"
"approval_chain_368","muti_hrms_data.11033",4,0,"approval_rule_v6_payment_branch__marketing expenses_bu main"
"approval_chain_369","muti_hrms_data.6208",5,0,"approval_rule_v6_payment_branch__marketing expenses_bu main"
"approval_chain_370","muti_hrms_data.1136",6,0,"approval_rule_v6_payment_branch__marketing expenses_bu main"
"approval_chain_371","hr_job_immediate superior",2,0,"approval_rule_v6_cash_tig__travel expenses (thru petty cash fund)_petty cash fund"
"approval_chain_372","muti_hrms_data.1136",6,0,"approval_rule_v6_purchase_branch__purchases(capex it equipment)_bu main"
"approval_chain_374","hr_job_immediate superior",2,0,"approval_rule_v6_cash_branch__petty cash fund replenishment_bu main"
"approval_chain_375","muti_hrms_data.11033",3,0,"approval_rule_v6_cash_branch__petty cash fund replenishment_bu main"
"approval_chain_376","muti_hrms_data.6208",4,0,"approval_rule_v6_cash_branch__petty cash fund replenishment_bu main"
"approval_chain_378","hr_job_immediate superior",2,0,"approval_rule_v6_payment_branch__utility bills/rentals_bu main"
"approval_chain_379","muti_hrms_data.11033",3,0,"approval_rule_v6_payment_branch__utility bills/rentals_bu main"
"approval_chain_380","muti_hrms_data.6208",4,0,"approval_rule_v6_payment_branch__utility bills/rentals_bu main"
"approval_chain_382","hr_job_immediate superior",2,0,"approval_rule_v6_cash_pumgas head office__advances to employee_mother account"
"approval_chain_383","muti_hrms_data.6208",3,0,"approval_rule_v6_cash_pumgas head office__advances to employee_mother account"
"approval_chain_384","muti_hrms_data.1136",4,0,"approval_rule_v6_cash_pumgas head office__advances to employee_mother account"
"approval_chain_386","hr_job_immediate superior",2,0,"approval_rule_v6_cash_tig__advances to sister company_tig"
"approval_chain_387","muti_hrms_data.11033",3,0,"approval_rule_v6_cash_tig__advances to sister company_tig"
"approval_chain_388","muti_hrms_data.11033",3,0,"approval_rule_v6_cash_tig__travel expenses (thru petty cash fund)_petty cash fund"
"approval_chain_390","hr_job_immediate superior",2,0,"approval_rule_v6_purchase_tig__purchases (non-capex it equipment)_bu main"
"approval_chain_391","muti_hrms_data.11033",3,0,"approval_rule_v6_purchase_tig__purchases (non-capex it equipment)_bu main"
"approval_chain_392","muti_hrms_data.6208",4,0,"approval_rule_v6_purchase_tig__purchases (non-capex it equipment)_bu main"
"approval_chain_393","muti_hrms_data.6222",5,0,"approval_rule_v6_purchase_tig__purchases (non-capex it equipment)_bu main"
"approval_chain_394","muti_hrms_data.1136",6,0,"approval_rule_v6_purchase_tig__purchases (non-capex it equipment)_bu main"
"approval_chain_396","hr_job_immediate superior",2,0,"approval_rule_v6_others_head office__accountable forms_bu main"
"approval_chain_397","muti_hrms_data.6208",2,0,"approval_rule_v6_payment_head office__separation pay_bu main"
"approval_chain_399","muti_hrms_data.11033",2,0,"approval_rule_v6_cash_branch__iou's_bu main"
"approval_chain_400","muti_hrms_data.6268",3,0,"approval_rule_v6_cash_branch__iou's_bu main"
"approval_chain_401","muti_hrms_data.6208",4,0,"approval_rule_v6_cash_branch__iou's_bu main"
"approval_chain_403","muti_hrms_data.6208",2,0,"approval_rule_v6_cash_hlrdc head office__petty cash fund replenishment_bu main"
"approval_chain_404","muti_hrms_data.1136",3,0,"approval_rule_v6_cash_hlrdc head office__petty cash fund replenishment_bu main"
"approval_chain_406","muti_hrms_data.6208",2,0,"approval_rule_v6_cash_hlrdc head office__marketing expenses_bu main"
