id,name,skill_category_id:id
employee_skills_targetshootingid,TARGET SHOOTING,employee_skills_categ_m04id
employee_skills_scubadivingid,SCUBA DIVING,employee_skills_categ_m04id
employee_skills_soccerid,SOCCER,employee_skills_categ_m04id
employee_skills_badmintonid,BADMINTON,employee_skills_categ_m04id
employee_skills_tabletennisid,TABLE TENNIS,employee_skills_categ_m04id
employee_skills_baseballid,BASEBALL,employee_skills_categ_m04id
employee_skills_softballid,SOFTBALL,employee_skills_categ_m04id
employee_skills_cyclingid,CYCLING,employee_skills_categ_m04id
employee_skills_chessid,CHESS,employee_skills_categ_m04id
employee_skills_swimmingid,SWIMMING,employee_skills_categ_m04id
employee_skills_billiardsid,BILLIARDS,employee_skills_categ_m04id
employee_skills_lawntennisid,LAWN TENNIS,employee_skills_categ_m04id
employee_skills_martialartsid,MARTIAL ARTS,employee_skills_categ_m04id
employee_skills_boxingid,BOXING,employee_skills_categ_m04id
employee_skills_bowlingid,BOWLING,employee_skills_categ_m04id
employee_skills_footballid,FOOTBALL,employee_skills_categ_m04id
employee_skills_sepaktakrawid,SEPAK TAKRAW,employee_skills_categ_m04id
employee_skills_shootingid,SHOOTING,employee_skills_categ_m04id
employee_skills_taekwondoid,TAEKWONDO,employee_skills_categ_m04id
employee_skills_golfid,GOLF,employee_skills_categ_m04id
employee_skills_karateid,KARATE,employee_skills_categ_m04id
employee_skills_videogamesid,VIDEO GAMES,employee_skills_categ_m04id
employee_skills_track&fieldid,TRACK & FIELD,employee_skills_categ_m04id
employee_skills_skateboardingid,SKATEBOARDING,employee_skills_categ_m04id
employee_skills_damaid,DAMA,employee_skills_categ_m04id
employee_skills_motocrossid,MOTOCROSS,employee_skills_categ_m04id
employee_skills_scrabbleid,SCRABBLE,employee_skills_categ_m04id
employee_skills_marathonid,MARATHON,employee_skills_categ_m04id
employee_skills_pingpongid,PINGPONG,employee_skills_categ_m04id
employee_skills_bikingid,BIKING,employee_skills_categ_m04id
employee_skills_futsalid,FUTSAL,employee_skills_categ_m04id
employee_skills_frisbeeid,FRISBEE,employee_skills_categ_m04id
employee_skills_cookingid,COOKING,employee_skills_categ_m05id
employee_skills_dancingid,DANCING,employee_skills_categ_m05id
employee_skills_singingid,SINGING,employee_skills_categ_m05id
employee_skills_carpentryid,CARPENTRY,employee_skills_categ_m05id
employee_skills_waiteringid,WAITERING,employee_skills_categ_m05id
employee_skills_bartendingid,BAR TENDING,employee_skills_categ_m05id
employee_skills_barberid,BARBER,employee_skills_categ_m05id
employee_skills_bakingid,BAKING,employee_skills_categ_m05id
employee_skills_bookeepingid,BOOKEEPING,employee_skills_categ_m05id
employee_skills_landscapingid,LANDSCAPING,employee_skills_categ_m05id
employee_skills_curvingid,CURVING,employee_skills_categ_m05id
employee_skills_mountainclimbingid,MOUNTAIN CLIMBING,employee_skills_categ_m05id
employee_skills_makingpoemsid,MAKING POEMS,employee_skills_categ_m05id
employee_skills_wallclimbingid,WALL CLIMBING,employee_skills_categ_m05id
employee_skills_rollerbladeskatingid,ROLLER BLADE SKATING,employee_skills_categ_m05id
employee_skills_serviceorientedpersonid,SERVICE ORIENTED PERSON,employee_skills_categ_m05id
employee_skills_counterfeitcurrencydetectionid,COUNTERFEIT CURRENCY DETECTION,employee_skills_categ_m05id
employee_skills_tailoringid,TAILORING,employee_skills_categ_m05id
employee_skills_sandalmakingid,SANDAL MAKING,employee_skills_categ_m05id
employee_skills_publicspeakingid,PUBLIC SPEAKING,employee_skills_categ_m05id
employee_skills_tableskirtingid,TABLE SKIRTING,employee_skills_categ_m05id
employee_skills_playingguitarid,PLAYING GUITAR,employee_skills_categ_m05id
employee_skills_baristaid,BARISTA,employee_skills_categ_m05id
employee_skills_managingid,MANAGING,employee_skills_categ_m05id
employee_skills_playingdrumsid,PLAYING DRUMS,employee_skills_categ_m05id
employee_skills_crossstitchingid,CROSS STITCHING,employee_skills_categ_m05id
employee_skills_photographyid,PHOTOGRAPHY,employee_skills_categ_m05id
employee_skills_transcriptionid,TRANSCRIPTION,employee_skills_categ_m05id
employee_skills_journalismid,JOURNALISM,employee_skills_categ_m05id
