id,barcode_affix,name,parent_id/id,removal_strategy_id/id
subgroup_97,015,Lamp Coil,group_97,
major_class_98,01,MC,product_category_sp,
make_98,01,Honda,major_class_98,
group_98,09,Electricals,make_98,
subgroup_98,016,Magneto,group_98,
major_class_99,01,MC,product_category_sp,
make_99,01,Honda,major_class_99,
group_99,09,Electricals,make_99,
subgroup_99,017,Primary Coil,group_99,
major_class_100,01,MC,product_category_sp,
make_100,01,Honda,major_class_100,
group_100,09,Electricals,make_100,
subgroup_100,018,Rectifier,group_100,
major_class_101,01,MC,product_category_sp,
make_101,01,Honda,major_class_101,
group_101,09,Electricals,make_101,
subgroup_101,019,Regulator,group_101,
major_class_102,01,MC,product_category_sp,
make_102,01,Honda,major_class_102,
group_102,09,Electricals,make_102,
subgroup_102,020,Coil Pulser,group_102,
major_class_103,01,MC,product_category_sp,
make_103,01,Honda,major_class_103,
group_103,09,Electricals,make_103,
subgroup_103,021,"Relay, Starter",group_103,
major_class_104,01,MC,product_category_sp,
make_104,01,Honda,major_class_104,
group_104,09,Electricals,make_104,
subgroup_104,022,Resistor,group_104,
major_class_105,01,MC,product_category_sp,
make_105,01,Honda,major_class_105,
group_105,09,Electricals,make_105,
subgroup_105,023,Rotor,group_105,
major_class_106,01,MC,product_category_sp,
make_106,01,Honda,major_class_106,
group_106,09,Electricals,make_106,
subgroup_106,024,Signal Light,group_106,
major_class_107,01,MC,product_category_sp,
make_107,01,Honda,major_class_107,
group_107,09,Electricals,make_107,
subgroup_107,025,"Spark, Advancer",group_107,
major_class_108,01,MC,product_category_sp,
make_108,01,Honda,major_class_108,
group_108,09,Electricals,make_108,
subgroup_108,026,"Starter, Motor",group_108,
major_class_109,01,MC,product_category_sp,
make_109,01,Honda,major_class_109,
group_109,09,Electricals,make_109,
subgroup_109,027,Stator Assembly,group_109,
major_class_110,01,MC,product_category_sp,
make_110,01,Honda,major_class_110,
group_110,09,Electricals,make_110,
subgroup_110,028,Switch Assembly,group_110,
major_class_111,01,MC,product_category_sp,
make_111,01,Honda,major_class_111,
group_111,09,Electricals,make_111,
subgroup_111,029,"Switch Change, Set",group_111,
major_class_112,01,MC,product_category_sp,
make_112,01,Honda,major_class_112,
group_112,09,Electricals,make_112,
subgroup_112,030,"Switch, Ignition Assembly",group_112,
